#Time(sec since midnight),Speed(Kts)
58320.764000,7.480000
58322.819000,7.720000
58324.764000,7.700000
58326.817000,7.760000
58328.777000,7.440000
58330.815000,7.680000
58332.775000,7.990000
58334.814000,7.700000
58336.775000,7.680000
58338.811000,7.370000
58340.773000,6.710000
58342.810000,6.960000
58344.771000,7.560000
58346.821000,7.600000
58348.769000,7.430000
58350.808000,7.350000
58352.768000,7.350000
58354.807000,7.370000
58356.765000,7.480000
58358.819000,7.480000
58360.764000,7.640000
58362.819000,7.600000
58364.762000,7.460000
58366.816000,7.060000
58368.777000,7.020000
58370.831000,7.290000
58372.786000,7.370000
58374.829000,7.460000
58376.884000,7.810000
58378.828000,7.810000
58380.772000,7.910000
58382.826000,7.560000
58384.785000,7.790000
58386.825000,8.110000
58388.785000,7.910000
58390.831000,7.720000
58392.782000,7.950000
58394.821000,7.780000
58396.781000,7.620000
58398.820000,7.500000
58400.779000,7.830000
58402.818000,7.390000
58404.778000,7.790000
58406.815000,7.790000
58408.776000,7.640000
58410.830000,7.350000
58412.774000,7.540000
58414.828000,7.720000
58416.784000,7.620000
58418.826000,7.640000
58420.771000,7.520000
58422.824000,7.190000
58424.784000,7.620000
58426.776000,7.540000
58428.782000,7.130000
58430.775000,7.620000
58432.782000,8.420000
58434.773000,8.140000
58436.780000,7.850000
58438.771000,8.140000
58440.779000,8.110000
58442.786000,7.660000
58444.808000,7.850000
58446.783000,7.540000
58448.776000,8.140000
58450.783000,8.130000
58452.772000,7.350000
58454.779000,7.640000
58456.773000,7.890000
58458.779000,7.740000
58460.786000,7.410000
58462.792000,7.680000
58464.784000,7.640000
58466.792000,7.620000
58468.783000,7.540000
58470.773000,7.580000
58472.782000,7.580000
58474.773000,7.680000
58476.779000,8.160000
58478.786000,8.300000
58480.779000,8.260000
58482.786000,8.090000
58484.776000,8.090000
58486.785000,7.760000
58488.790000,7.720000
58490.782000,7.680000
58492.790000,7.830000
58494.780000,7.910000
58496.795000,7.910000
58498.794000,7.720000
58500.786000,7.720000
58502.793000,7.660000
58504.784000,7.850000
58506.791000,7.540000
58508.782000,7.620000
58510.789000,7.830000
58512.782000,7.680000
58514.803000,7.540000
58517.061000,7.700000
58518.785000,7.890000
58520.793000,7.680000
58522.794000,7.440000
58524.790000,7.390000
58526.782000,7.660000
58528.790000,8.110000
58530.781000,7.990000
58532.787000,7.930000
58534.794000,7.830000
58536.788000,8.260000
58538.779000,7.760000
58540.793000,7.560000
58542.791000,7.740000
58544.784000,7.790000
58546.791000,7.620000
58548.799000,7.640000
58550.804000,7.790000
58552.796000,8.280000
58554.803000,7.990000
58556.794000,7.740000
58558.803000,7.850000
58560.792000,7.620000
58562.799000,7.310000
58564.791000,7.740000
58566.798000,7.790000
58568.789000,7.870000
58570.797000,7.810000
58572.788000,7.780000
58574.796000,8.110000
58576.800000,7.810000
58578.871000,7.850000
58580.800000,7.950000
58582.806000,7.500000
58584.804000,7.990000
58586.789000,7.540000
58588.796000,7.560000
58590.787000,7.700000
58592.795000,7.540000
58594.802000,7.480000
58596.793000,7.020000
58598.801000,7.440000
58600.824000,7.810000
58602.802000,7.720000
58604.790000,7.560000
58606.859000,7.100000
58608.821000,7.560000
58610.859000,7.990000
58612.818000,7.740000
58614.871000,7.680000
58616.818000,7.910000
58618.856000,7.870000
58620.825000,7.950000
58622.868000,7.950000
58624.828000,8.050000
58626.868000,7.640000
58628.812000,7.950000
58630.865000,7.480000
58632.810000,8.070000
58634.865000,8.300000
58636.809000,7.760000
58638.870000,7.680000
58640.823000,7.850000
58642.862000,8.110000
58644.821000,7.780000
58646.860000,7.540000
58648.818000,7.740000
58650.858000,7.520000
58652.818000,7.540000
58654.856000,7.680000
58656.816000,7.990000
58658.870000,8.300000
58660.815000,8.490000
58662.868000,7.540000
58664.822000,7.500000
58666.866000,7.890000
58668.826000,7.310000
58670.864000,7.560000
58672.827000,8.010000
58674.879000,7.930000
58676.825000,7.640000
58678.878000,7.540000
58680.823000,7.870000
58682.877000,8.050000
58684.819000,8.010000
58686.874000,8.200000
58688.820000,7.480000
58690.874000,8.200000
58692.817000,7.930000
58694.871000,8.030000
58696.832000,7.620000
58698.870000,7.720000
58700.829000,7.890000
58702.866000,7.910000
58704.829000,7.830000
58706.867000,7.740000
58708.832000,7.680000
58710.864000,7.660000
58712.826000,7.410000
58714.864000,7.580000
58716.824000,7.780000
58718.878000,7.950000
58720.822000,7.910000
58722.875000,7.430000
58724.819000,7.600000
58726.875000,7.680000
58728.834000,7.910000
58730.874000,8.220000
58732.833000,8.030000
58734.886000,7.760000
58736.830000,7.600000
58738.884000,7.190000
58740.829000,7.810000
58742.883000,7.760000
58744.827000,7.720000
58746.882000,7.700000
58748.826000,7.740000
58750.879000,7.680000
58752.841000,7.130000
58754.877000,7.370000
58756.838000,7.460000
58758.875000,6.980000
58760.853000,7.290000
58762.887000,7.350000
58764.834000,7.660000
58766.872000,7.480000
58768.833000,7.910000
58770.873000,8.160000
58772.831000,8.140000
58775.106000,8.380000
58777.081000,8.300000
58780.827000,8.570000
58782.882000,8.050000
58784.827000,7.580000
58786.883000,7.540000
58788.850000,7.410000
58790.894000,7.720000
58792.840000,7.910000
58794.894000,8.420000
58796.838000,8.280000
58798.895000,8.300000
58800.835000,8.010000
58802.891000,7.040000
58804.834000,7.270000
