#Time(sec since midnight),Speed(Kts)
64699.610000,7.270000
64701.618000,7.790000
64703.609000,8.090000
64705.616000,7.230000
64707.606000,6.940000
64709.615000,7.020000
64711.621000,7.660000
64713.659000,7.950000
64715.604000,7.780000
64717.612000,7.580000
64719.619000,7.500000
64721.608000,7.270000
64723.616000,6.530000
64725.608000,6.670000
64727.678000,7.270000
64729.639000,7.250000
64731.676000,6.900000
64733.637000,7.500000
64735.691000,7.230000
64737.635000,6.760000
64739.687000,6.920000
64741.633000,6.980000
64743.687000,7.190000
64745.632000,7.230000
64747.690000,7.520000
64749.629000,6.980000
64751.683000,6.260000
64753.628000,5.970000
64755.683000,6.380000
64757.626000,6.900000
64759.680000,7.060000
64761.625000,7.170000
64763.679000,6.750000
64765.638000,6.410000
64767.676000,6.650000
64769.637000,7.230000
64771.674000,6.920000
64773.638000,6.820000
64775.688000,7.100000
64777.633000,6.820000
64781.634000,7.000000
64783.684000,6.800000
64785.629000,6.650000
64787.638000,7.060000
64789.739000,7.150000
64791.635000,6.730000
64793.625000,5.440000
64795.634000,5.850000
64797.626000,6.920000
64799.637000,7.680000
64801.623000,7.600000
64803.631000,7.100000
64805.623000,7.080000
64807.630000,6.730000
64809.635000,6.380000
64811.627000,6.710000
64813.634000,7.310000
64815.627000,7.930000
64817.636000,7.480000
64819.624000,6.840000
64821.632000,6.760000
64823.622000,6.960000
64825.631000,7.130000
64827.635000,7.560000
64829.627000,6.690000
64831.620000,6.800000
64833.628000,6.400000
64835.635000,7.250000
64837.626000,7.430000
64839.632000,7.760000
64841.624000,7.760000
64843.630000,7.790000
64845.621000,7.640000
64847.738000,7.290000
64849.698000,6.920000
64851.736000,7.100000
64853.697000,7.020000
64855.750000,7.130000
64857.694000,6.840000
64859.748000,6.340000
64861.696000,6.490000
64863.745000,7.020000
64865.692000,7.410000
64867.746000,7.290000
64869.690000,6.760000
64871.745000,7.560000
64873.688000,7.810000
64875.742000,8.200000
64877.687000,8.110000
64879.741000,7.700000
64881.701000,7.620000
64883.754000,6.730000
64885.699000,6.750000
64887.739000,6.710000
64889.698000,7.060000
64891.735000,7.560000
64893.697000,7.110000
64895.734000,6.940000
64897.697000,6.840000
64899.731000,6.570000
64901.959000,7.080000
64905.707000,7.250000
64907.755000,7.310000
64909.705000,7.230000
64911.743000,7.430000
64913.703000,7.390000
64915.741000,7.700000
64917.702000,8.070000
64919.755000,7.930000
64921.701000,7.640000
64923.755000,6.730000
64925.698000,6.120000
64927.753000,6.610000
64929.697000,6.750000
64931.735000,7.390000
64933.700000,7.870000
64935.748000,7.870000
64937.693000,7.700000
64939.747000,5.440000
64941.693000,6.400000
64943.762000,6.650000
64945.691000,7.390000
64947.744000,7.000000
64949.690000,7.660000
64951.750000,7.210000
64953.688000,6.710000
64955.740000,6.780000
64957.687000,6.670000
64959.740000,6.510000
64961.699000,6.180000
64963.738000,6.780000
64965.698000,6.730000
64967.721000,7.330000
64969.695000,6.750000
64971.717000,6.820000
64973.679000,6.730000
64975.719000,6.450000
64977.680000,6.430000
64979.717000,6.410000
64981.677000,6.430000
64983.715000,6.080000
64985.675000,6.400000
64987.728000,6.840000
64989.673000,7.080000
64991.726000,6.860000
64993.672000,6.690000
64995.728000,7.040000
64997.669000,7.500000
64999.723000,8.160000
65001.668000,8.340000
65003.723000,7.480000
65005.682000,6.880000
65007.720000,7.020000
65009.664000,7.780000
65011.720000,8.240000
