#Time,Speed(Kts)
73202.997000,9.100000
73204.944000,9.100000
73208.959000,9.080000
73210.998000,9.170000
73212.940000,9.120000
73214.996000,9.140000
73216.940000,9.170000
73218.994000,9.060000
73220.953000,9.100000
73222.991000,9.080000
73224.969000,9.160000
73228.956000,9.060000
73230.988000,9.120000
73232.950000,9.120000
73234.987000,9.060000
73236.947000,9.040000
73238.985000,8.980000
73240.945000,8.960000
73242.984000,9.080000
73244.946000,9.100000
73246.999000,9.040000
73248.989000,9.210000
73250.995000,9.140000
73252.956000,9.100000
73254.995000,8.920000
73256.953000,8.920000
73258.993000,9.120000
73260.953000,9.230000
73263.038000,9.170000
73264.952000,9.160000
73266.989000,9.060000
73268.949000,9.060000
73270.988000,9.040000
73272.957000,8.980000
73275.048000,9.020000
73276.946000,8.920000
73278.986000,8.960000
73280.946000,9.040000
73282.998000,9.140000
73284.943000,9.170000
73286.997000,9.020000
73288.942000,9.080000
73290.997000,9.060000
73292.955000,9.000000
73296.954000,9.020000
73298.993000,9.100000
73300.951000,9.020000
73302.991000,9.100000
73304.951000,9.040000
73307.006000,9.190000
73308.964000,9.120000
73312.964000,9.170000
73316.968000,9.210000
73318.999000,8.980000
73320.960000,9.120000
73322.999000,9.020000
73324.959000,9.000000
73327.008000,9.020000
73328.956000,8.980000
73331.041000,8.980000
73332.956000,8.980000
73334.994000,9.040000
73336.952000,8.980000
73338.992000,9.060000
73340.967000,9.020000
73344.965000,9.160000
73347.003000,8.940000
73348.965000,9.160000
73351.003000,9.120000
73352.962000,9.040000
73354.999000,9.140000
73356.960000,8.980000
73358.999000,9.060000
73360.967000,9.040000
73365.225000,9.060000
73367.011000,9.060000
73368.972000,8.960000
73371.019000,9.250000
73372.968000,9.000000
73375.009000,8.830000
73376.969000,9.160000
73379.007000,9.210000
73380.966000,9.020000
73383.005000,9.120000
73384.966000,9.000000
73387.005000,9.060000
73388.961000,8.940000
73391.004000,8.980000
73393.104000,8.940000
73395.001000,8.840000
73396.976000,8.830000
73399.000000,8.790000
73400.975000,8.900000
73403.012000,8.920000
73404.973000,8.980000
73407.011000,9.000000
73408.972000,8.940000
73410.994000,8.940000
73412.971000,9.040000
73415.005000,8.980000
73416.967000,8.840000
73418.991000,8.880000
73420.966000,9.000000
73423.005000,8.710000
73424.965000,8.880000
73427.003000,8.860000
73428.979000,8.790000
73431.299000,8.710000
73435.015000,9.040000
73436.975000,9.020000
73439.015000,8.880000
73440.983000,9.000000
73443.011000,9.100000
73444.972000,8.980000
73447.010000,8.840000
73448.971000,9.080000
73451.024000,9.120000
73452.983000,8.980000
73455.023000,9.080000
73456.969000,8.770000
73459.006000,8.840000
73460.981000,8.610000
73463.019000,8.940000
73464.980000,8.980000
73467.019000,8.880000
73468.977000,8.880000
73471.017000,8.960000
73472.978000,8.980000
73475.015000,8.710000
73476.972000,8.880000
73479.014000,9.120000
73480.974000,8.960000
73483.012000,9.020000
73484.982000,9.040000
73486.979000,8.880000
73488.969000,8.770000
73490.978000,8.980000
73492.969000,8.880000
73494.975000,9.160000
73496.982000,8.940000
73499.004000,9.080000
73500.981000,9.080000
73502.983000,9.210000
73504.978000,8.690000
73506.969000,8.940000
73508.977000,9.040000
73510.969000,8.900000
73512.975000,9.100000
73514.983000,9.040000
73516.974000,8.940000
73518.982000,9.140000
73520.971000,8.900000
73522.979000,8.960000
73524.971000,8.980000
73526.978000,8.830000
73528.969000,8.920000
73530.975000,9.080000
73532.969000,9.290000
73534.976000,8.880000
73536.967000,8.960000
73538.972000,9.190000
73540.980000,9.040000
73542.972000,8.880000
73544.979000,9.000000
73547.033000,8.880000
73548.991000,9.000000
73551.030000,9.020000
73552.992000,9.040000
73555.030000,9.000000
73556.988000,9.040000
73559.027000,9.000000
73560.988000,9.190000
73563.026000,8.830000
73564.999000,8.980000
73568.984000,9.000000
73571.023000,9.060000
73572.983000,9.120000
73575.036000,9.060000
73576.997000,9.100000
73579.035000,9.080000
73580.995000,9.020000
73583.034000,9.140000
73584.993000,9.100000
73587.032000,9.120000
73588.992000,9.060000
